,step02h_eqparamA,step02t_eqparamA,step03h_eqparamA,step03t_eqparamA,step04h_eqparamA,step04t_eqparamA,step05h_eqparamA,step05t_eqparamA,step08h_eqparamA,step10h_eqparamA,step12h_eqparamA,system_eqparamA,step01at_eqparamB,step01bt_eqparamB,step02t_eqparamB,step04t_eqparamB,step05t_eqparamB,step01h_reagparamA,step01at_reagparamA,step01bt_reagparamA,step03h_reagparamB,step03t_reagparamB,system_eqparamC,system_reageparamC,system_eqparamD,system_state,system_result
216,11.96655277,7.497369665,11.3909529,15.64358264,10.2621255,4.391804294,8.769454997999999,4.769338200000001,9.855909109,10.90862566,10.76329211,30.58446115,1.180630232,1.06562635,2.575311654,0.926497253,0.84897832,25.47628903,5.0,6.0,350.0,350.0,6.0,7.003521932999999,4.564774772,107.03914979999999,Good
13,15.60729572,12.03297767,21.43819144,17.17878848,17.97364043,4.763326131,16.68407821,4.38961647,7.242311787999999,7.009739757,5.901873171,32.65667225,1.196580941,0.644723206,2.151205739,0.53775903,0.5840042320000001,15.25462589,5.667083807999999,5.049129306,329.7331325,300.0,6.876218056,6.944742449,5.360567474,101.2644149,Bad
190,8.244071304,4.703926473,18.74005104,14.75993218,16.16397551,2.19582996,10.93211645,2.246927842,10.38785039,10.90352164,10.59054866,25.81422956,1.034367289,0.96639206,2.05238921,1.0565064709999998,0.842606407,25.0,5.0,6.0,350.0,350.0,6.0,7.59768981,5.9809539339999995,77.03789639,Bad
160,12.09964259,7.239414063,22.5336917,18.09529462,19.76007164,2.788261748,15.89185614,5.461635284,13.03317693,9.530759618,11.05011922,29.1082928,1.1867787159999998,1.2004901829999999,2.4999584230000003,0.87051555,0.84596425,29.25095308,5.565892916,5.647153958,424.16232060000004,351.0469381,7.540169082999999,7.008639037000001,5.2209927160000005,139.753379,Good
411,9.931788000000001,8.866861663,17.98207364,16.04535009,8.048888203999999,2.443318936,8.822698335,2.7968461380000003,9.414453299,9.623901231,9.236563157,29.05983975,1.527681696,1.637238584,2.095626681,0.6976108320000001,0.66813485,35.77961191,4.797732815,4.797808828,309.8685455,309.6779977,6.0,7.177863925,6.321476542999999,54.53331537,Good
375,10.31072408,9.338121571,26.78065159,24.38485121,14.31631209,2.191136316,12.04993941,4.073252796,8.96827236,11.34665844,11.29657148,25.17910774,1.426732179,1.370192118,2.3231964609999998,0.7544644709999999,0.781688486,34.09807111,5.0,5.0,350.0,350.0,6.0,7.185795592000001,4.892064121000001,91.75316059,Good
137,9.172569335,8.452021442000001,15.76249886,16.13576319,14.23392889,2.9665064880000003,12.38663277,4.275997854,7.435718849,7.137008474,8.263154811,29.41844184,1.8794456119999998,1.590371212,2.501088223,1.474112885,0.7943360270000001,22.75196829,4.177539718,4.177540012,349.72357900000003,340.648479,8.432655579,6.921964719,5.104457566000001,174.1882441,Good
109,14.43181924,14.01922082,21.71578824,17.36747988,16.36095877,5.6330201760000005,16.36217286,5.985054644,8.0,8.0,7.711041762000001,41.86208366,1.400187167,0.7862718679999999,2.4862595919999997,0.872377143,0.740052116,32.22939064,0.0,0.0,318.55784910000006,300.0,9.000058751000001,6.8860258739999995,5.752751377999999,69.77950957,Bad
88,17.21238238,13.45275063,22.4910194,18.35303446,11.93175896,3.3161335339999995,13.44979148,5.1864282919999996,6.798227224,6.93179791,6.418187317,35.87263734,1.5495744230000001,1.193452826,2.6051137069999997,1.095903771,0.7446821029999999,26.17521316,1.7564770859999999,1.756259473,300.0,300.0,9.0,7.283687245,6.222587995,45.5528369,Bad
5,10.67003367,7.887823692,19.05766963,16.69445749,10.90371773,2.7476985710000004,10.23371824,3.6023866780000002,4.540451963,4.050596065,4.769378594,27.01731494,1.19233269,0.70844331,2.0744310880000003,0.606522706,0.648017989,24.52834809,7.513342036,6.526549606000001,214.47572480000002,214.46264150000002,5.369345307000001,7.174758138,5.162659548,75.63384705,Warning
